location,date,total_cases,total_deaths,people_vaccinated,total_cases_change_percentage,total_deaths_change_percentage,people_vaccinated_percentage,attention_score
49,Croatia,2021-07-31,363615.0,8259.0,1646466.0,0.9893321232622416,0.9934616781692699,0.9041832628186673,0.9623256880833929
50,Croatia,2021-08-30,373330.0,8331.0,1723136.0,0.9739774462271985,0.9913575801224342,0.9555055433813697,0.9736135232436675
51,Croatia,2021-09-30,404790.0,8640.0,1822966.0,0.9222806887521925,0.9642361111111111,0.9452375963128221,0.9439181320587086
52,Croatia,2021-10-31,470348.0,9220.0,1911657.0,0.860618095537772,0.9370932754880694,0.9536051708020843,0.917105513942642
53,Croatia,2021-11-30,608205.0,10899.0,2187524.0,0.7733379370442531,0.8459491696485916,0.8738907550271449,0.8310592872399966
54,Croatia,2021-12-31,715245.0,12538.0,2259393.0,0.8503449866828849,0.8692773967139895,0.9681910141352125,0.8959377991773624
55,Croatia,2022-01-27,909674.0,13625.0,2292446.0,0.78626518950745,0.9202201834862386,0.9855817759720403,0.8973557163219096
57,Czechia,2021-01-31,984774.0,16308.0,241316.0,0.7297725163336969,0.7100809418690214,0.04928392646985695,0.4963791282241918
58,Czechia,2021-02-28,1235480.0,20339.0,425104.0,0.7970780587302101,0.8018093318255568,0.5676634423576349,0.7221836109711339
59,Czechia,2021-03-31,1532332.0,26421.0,1219296.0,0.8062743582983322,0.7698043223193671,0.34864708815578827,0.6415752562578292
60,Czechia,2021-04-30,1630758.0,29267.0,2196511.0,0.9396440183031449,0.9027573717839205,0.5551058018830773,0.7991690639900476
61,Czechia,2021-05-31,1661272.0,30108.0,3922689.0,0.9816321469331933,0.9720672246578982,0.5599503299904733,0.8378832338605217
62,Czechia,2021-06-30,1667287.0,30303.0,5101224.0,0.996392342770021,0.9935649935649936,0.768970153045622,0.9196424964602121
63,Czechia,2021-07-31,1673576.0,30373.0,5680519.0,0.9962421784251209,0.9976953215026504,0.8980207618353182,0.9639860872543631
64,Czechia,2021-08-31,1679189.0,30404.0,5970558.0,0.9966573149300049,0.9989803973161426,0.9514217934069144,0.9823531685510206
65,Czechia,2021-09-30,1691489.0,30459.0,6099130.0,0.9927283003318378,0.9981942939689419,0.9789196164043068,0.9899474035683621
66,Czechia,2021-10-31,1762902.0,30753.0,6246627.0,0.959491225263798,0.9904399570773583,0.9763877369338685,0.9754396397583416
67,Czechia,2021-11-30,2150042.0,33069.0,6670360.0,0.8199384012033253,0.9299646194320965,0.9364752427155356,0.8954594211169858
68,Czechia,2021-12-31,2475729.0,36129.0,6827054.0,0.8684480409608645,0.9153034958066927,0.977048079596265,0.9202665387879407
69,Czechia,2022-01-28,2923680.0,37145.0,6922988.0,0.8467852158923002,0.9726477318616233,0.9861426886772012,0.9351918788103749
71,Denmark,2021-01-31,198472.0,2125.0,171228.0,0.823687976137692,0.6108235294117647,0.18765622444927232,0.540722576666243
72,Denmark,2021-02-28,211195.0,2361.0,407779.0,0.9397570965221714,0.9000423549343498,0.41990391854411335,0.7532344566668782
73,Denmark,2021-03-31,230603.0,2419.0,717021.0,0.9158380420029227,0.9760231500620091,0.5687127713135319,0.8201913211261546
74,Denmark,2021-04-30,250554.0,2483.0,1315796.0,0.9203724546405166,0.9742247281514297,0.5449332571310447,0.8131768133076637
75,Denmark,2021-05-31,281227.0,2516.0,2141227.0,0.8909315250669388,0.9868839427662957,0.6145056082330365,0.8307736920220904
76,Denmark,2021-06-30,293677.0,2534.0,3320119.0,0.9576064860373812,0.9928966061562746,0.6449247752866689,0.8651426224934416
77,Denmark,2021-07-31,316807.0,2549.0,4183050.0,0.9269902495841317,0.9941153393487642,0.793707701318416,0.904937763417104
78,Denmark,2021-08-31,345693.0,2584.0,4391648.0,0.9164403097546089,0.9864551083591331,0.9525012022821501,0.9517988734652972
79,Denmark,2021-09-30,358796.0,2656.0,4442462.0,0.9634806408098195,0.9728915662650602,0.988561747967681,0.974977985014187
80,Denmark,2021-10-31,387783.0,2714.0,4473165.0,0.9252494307383253,0.9786293294030951,0.9931361798636983,0.9656716466683729
81,Denmark,2021-11-30,487401.0,2895.0,4565339.0,0.795613878510713,0.9374784110535406,0.9798100425839132,0.9043007773827223
82,Denmark,2021-12-31,802397.0,3267.0,4803693.0,0.6074312341646342,0.8861340679522498,0.9503810922138446,0.8146487981102428
83,Denmark,2022-01-27,1582551.0,3674.0,4844813.0,0.5070275776262503,0.8892215568862275,0.9915125723118725,0.7959205689414501
85,Estonia,2021-01-31,44208.0,419.0,28079.0,0.63314332247557,0.5465393794749404,0.08814416467822928,0.42260895554291317
86,Estonia,2021-02-28,65600.0,589.0,78596.0,0.6739024390243903,0.7113752122241087,0.35725736678711384,0.580845006011871
